,Review
114,produk yg dikirim salah beli vit  malah dikirim niacinamide udah niat mau dipake barengan sama retinolnya malah gatot ok ok ga bisa klaim krn ga ada video unboxing fine but you actually owe me smt lhoo ntar disono kutagih ya  disono mana nih  next time bikin packaging gausah mirip warnanya jd bingung sendiri kan pas customer order pdhl beli di official store buat meminimalisir kesalahan  malah lebih fatal hadoo yodah segitu aja bye azarine tokped love  so much guys
115,beli yg day malah di kirim night lain kali lebih hati hati min
116,pesen tgl sampe tgl lama proses di toko nya
117,beli ss yg dikirim malah scrub huhh
118,isinya kosong kalau misal sudah sesuai dengan berat produk di kemasan harusnya jangan banyak ruang yang kosong sama aja bikin konsumen rugi
119,lama
120,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm
121,pelayanan admin nya jelek
122,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda
123,barang yang dikirim cuman harusnya karena saya beli twin pack
124,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan
125,ga berbuih
126,gak ada perubahan lapisan bibir menebal dan makin gelap bagusnya pas dipake doang
127,awalnya kaget ada paketan cuma dibubble wrap doang pas dibaca ternyata dari azarine dong padahal biasanya pakai kardus sudah diduga kemasan bakalan penyok karena kurir sini emang pake kardus aja suka keteken mana lama pula ngirimnya semoga balik lagi kemasannya pakai kardus gak cuma bubble wrap polosan macam ini
128,facial cleanser nya tumpah sampe habis sampe dus nya basah ternyata packing nya gak pake bubble wrap
129,dibeli tanggal mei nyampe mei kualitas pekiannya pun gak niat gak ada box nya nyesel banget beli disini walaupun officially store seharusnya lebih niat jualan gak sih
130,ketika sampai barang tidak ada di dalam kotak
131,kemasan tanpa kardus membuat tidak aman terhadap suhu produk diterima dalam keadaan panas sehingga tidak tau kualitas masih aman atau tidak
132,tidak ada barangnya padahal tertera ada produk di kardus depan tp di dlm hanya ada sdh terlanjur sy klik selesai
133,entah seller lupa masukin produknya apa gimana isi dalam dusnya hanya kertas komplain doang produknya ga ada harga emang ga seberapa tapi kecewa bgt
134,order item cm item ini yg tdk ada brgnya kecewa banget
135,no komen untuk barang ini karena tidak dikirim penjual proses pengirimannya sangat luama sekali mepet batas waktu pengiriman sampai waktu estimasi tiba berubah dan juga kualitas packaging paket kurang baik ditambah pesanan saya juga kurang satu dari total pesanan yang dikirim hanya respon terhadap komplainnya juga minim banget bener bener mepet batas waktu respon baru ada tanggapan bahwa complain disetujui padahal ini official store loh dan saya berharap banyak untuk sisi customer service tapi saya kecewa semoga menjadi improvement kedepannya ya
136,barang sudah pasti ori tp pengemasan super lama check out kamis senin baru dikirim mohon perbaiki durasi pengemasan kasian kan kalo lagi butuh barangnya segera thanks
137,tidak dikiriim dan pengembalian dana lumayan lama
138,kacau sih pesan tgl mei baru sampai tgl mei kalau gak dikirim barang yg di pesan ya lebih baik toko nya di tutup seller slow respon
139,sangat mengecewakan karena setelah diaplikasikan tidak lama kemudian sudah sompel kena air sedikit juga jadi sompel saya paham ini kutek peel off tapi bukan berarti lepasnya segampang itu
140,saya tidak menerima produk ini sama sekali pada hal saya sangat suka produk toko ini dan saya sering belanja di toko ini tetapi belakangan ini pelayanan toko sangat mengecewakan sok menjadikan lee min ho jadi brand ambasador tapi pelayanan tak becus saya sudah kecewa karena mengiriman yang lelet dan respon yang sangat lambat pada hal produknya sudah lumayan
141,belanja tgl mei packing dan kirim tergolong lama begitu sampai brg ini tdk ada dgn fotocopyan ajukan komplen proses pengembalian dana jg lama diterima tgl mei kinerja spt ini sdh ga layak utk era belanja online segera perbaiki sistem perusahaannya spy bs lbh maju kritik membangun utk usaha lokal
142,pesan tanggal tanggal baru dikirim sampe tanggal ke bogor harusnya kalo emang toko gak ada pengiriman di tutup dulu ke gak ada info apapun padahal butuh buru
