,Review,Review_norm,review_tokens
35,aku pesen pcs toner essence  dikabari ekspedisi dusnya rembes air sedih padahal tonerku udh tiris jdinya kutolak paketnya ujungnya duit dibalikin huft bikin lama lagi di video yg dikirimin ekspedisi terlihat tonernya ini aman gak berkurang sama skali tp mau ga mau kubalikin nya,aku pesan pcs toner essence  dikabari ekspedisi dusnya rembes air sedih padahal tonerku sudah tiris jdinya kutolak paketnya ujungnya duit dibalikin huft bikin lama lagi di video yang dikirimin ekspedisi terlihat tonernya ini aman enggak berkurang sama sekali tapi mau enggak mau kubalikin nya,"['aku', 'pesan', 'pcs', 'toner', 'essence', 'dikabari', 'ekspedisi', 'dusnya', 'rembes', 'air', 'sedih', 'padahal', 'tonerku', 'sudah', 'tiris', 'jdinya', 'kutolak', 'paketnya', 'ujungnya', 'duit', 'dibalikin', 'huft', 'bikin', 'lama', 'lagi', 'di', 'video', 'yang', 'dikirimin', 'ekspedisi', 'terlihat', 'tonernya', 'ini', 'aman', 'enggak', 'berkurang', 'sama', 'sekali', 'tapi', 'mau', 'enggak', 'mau', 'kubalikin', 'nya']"
36,bocor paket basah sedih,bocor paket basah sedih,"['bocor', 'paket', 'basah', 'sedih']"
37,ga kebayang kalo sunscreen ml itu stlh dipencet isinya hampir ga ada maaf ya tapi mending ganti sku yg lbh banyak ml nya,enggak terbayang kalo sunscreen ml itu setelah dipencet isinya hampir enggak ada maaf ya tapi mending ganti sku yang lebih banyak ml nya,"['enggak', 'terbayang', 'kalo', 'sunscreen', 'ml', 'itu', 'setelah', 'dipencet', 'isinya', 'hampir', 'enggak', 'ada', 'maaf', 'ya', 'tapi', 'mending', 'ganti', 'sku', 'yang', 'lebih', 'banyak', 'ml', 'nya']"
38,udah pede ga akan ada masalah karena dari official store jadi pas buka ga divideo taunya ada satu yg atasnya udah sobek gitu dan tentunya semua essencenya kering sudah lesson learned jaman skrg memang semua paket harus video unboxing bahkan dari toko terpercaya sekalipun,sudah percaya diri enggak akan ada masalah karena dari official store jadi pas buka enggak divideo taunya ada satu yang atasnya sudah sobek begitu dan tentunya semua essencenya kering sudah lesson learned jaman sekarang memang semua paket harus video unboxing bahkan dari toko terpercaya sekalipun,"['sudah', 'percaya', 'diri', 'enggak', 'akan', 'ada', 'masalah', 'karena', 'dari', 'official', 'store', 'jadi', 'pas', 'buka', 'enggak', 'divideo', 'taunya', 'ada', 'satu', 'yang', 'atasnya', 'sudah', 'sobek', 'begitu', 'dan', 'tentunya', 'semua', 'essencenya', 'kering', 'sudah', 'lesson', 'learned', 'jaman', 'sekarang', 'memang', 'semua', 'paket', 'harus', 'video', 'unboxing', 'bahkan', 'dari', 'toko', 'terpercaya', 'sekalipun']"
39,hasilnya belom nampak udah minggu pemakaian,hasilnya belum menampak sudah minggu pemakaian,"['hasilnya', 'belum', 'menampak', 'sudah', 'minggu', 'pemakaian']"
40,segel plastik  sdh gk ada pas  buka krtas dlm  udh robek kek udh di unboxing,segel plastik  sudah enggak ada pas  buka krtas dalam  sudah robek kayak sudah di unboxing,"['segel', 'plastik', 'sudah', 'enggak', 'ada', 'pas', 'buka', 'krtas', 'dalam', 'sudah', 'robek', 'kayak', 'sudah', 'di', 'unboxing']"
41,tutup tidak rapat bocor sampai isinya habis proses komplain ribet sekali harus kirim balik kemasan kosongnya,tutup tidak rapat bocor sampai isinya habis proses komplain ribet sekali harus kirim balik kemasan kosongnya,"['tutup', 'tidak', 'rapat', 'bocor', 'sampai', 'isinya', 'habis', 'proses', 'komplain', 'ribet', 'sekali', 'harus', 'kirim', 'balik', 'kemasan', 'kosongnya']"
42,no review found,no review found,"['no', 'review', 'found']"
43,tidak diberikan bonus sesuai deskripsi,tidak diberikan bonus sesuai deskripsi,"['tidak', 'diberikan', 'bonus', 'sesuai', 'deskripsi']"
44,timbul banyak jerawat kecil,timbul banyak jerawat kecil,"['timbul', 'banyak', 'jerawat', 'kecil']"
45,gak cocok bikin gatal dan iritasi pas pemakaian minggu coba berhenti minggu trus pake lagi ternyata sama aja gatal dan iritasi jd breakout gitu,enggak cocok bikin gatal dan iritasi pas pemakaian minggu coba berhenti minggu terus pakai lagi ternyata sama saja gatal dan iritasi jadi breakout begitu,"['enggak', 'cocok', 'bikin', 'gatal', 'dan', 'iritasi', 'pas', 'pemakaian', 'minggu', 'coba', 'berhenti', 'minggu', 'terus', 'pakai', 'lagi', 'ternyata', 'sama', 'saja', 'gatal', 'dan', 'iritasi', 'jadi', 'breakout', 'begitu']"
46,kok bisa isinya kosong aduhhh,kok bisa isinya kosong aduh,"['kok', 'bisa', 'isinya', 'kosong', 'aduh']"
47,aku senang dapat pc nya yoongi tapi aku kecewa sama barangnya aku mau coba make sunscreennya udah aku pencet kok gak mau keluar ternyata isinya udah mau habis,aku senang dapat pc nya yoongi tapi aku kecewa sama barangnya aku mau coba memakai sunscreennya sudah aku pencet kok enggak mau keluar ternyata isinya sudah mau habis,"['aku', 'senang', 'dapat', 'pc', 'nya', 'yoongi', 'tapi', 'aku', 'kecewa', 'sama', 'barangnya', 'aku', 'mau', 'coba', 'memakai', 'sunscreennya', 'sudah', 'aku', 'pencet', 'kok', 'enggak', 'mau', 'keluar', 'ternyata', 'isinya', 'sudah', 'mau', 'habis']"
48,promonya serum toner tp dikirim duanya serum,promonya serum toner tapi dikirim duanya serum,"['promonya', 'serum', 'toner', 'tapi', 'dikirim', 'duanya', 'serum']"
49,saya sudah checkout yang ada free guasha tapi pas sampai guashanya tidak ada harusnya yang dapat guasha sesuai yang sudah checkout duluan bukan bayar duluan,saya sudah checkout yang ada free guasha tapi pas sampai guashanya tidak ada harusnya yang dapat guasha sesuai yang sudah checkout duluan bukan bayar duluan,"['saya', 'sudah', 'checkout', 'yang', 'ada', 'free', 'guasha', 'tapi', 'pas', 'sampai', 'guashanya', 'tidak', 'ada', 'harusnya', 'yang', 'dapat', 'guasha', 'sesuai', 'yang', 'sudah', 'checkout', 'duluan', 'bukan', 'bayar', 'duluan']"
50,sebenernya gue suka sama produk avoskin cuman kalo lagi butuh tu pas kita travelling sla eta estimasi pengiriman tu ngga sesuai mana ngga ada keterangan pengiriman barang  lagi sampe gue baca lagi tu diskripsi ngga ada juga keterangan barang dikirim  gue beli biasanya di copi sih tapi karena copi ngga bisa milih kurir akhir kesini lhaa malah lebih parah pas ngajuin komplain pun ngga ditanggepin barang tetep dikirim ketika ditanya jawaban mereka templated,sebenarnya gue suka sama produk avoskin cuman kalo lagi butuh itu pas kita travelling sla eta estimasi pengiriman itu enggak sesuai mana enggak ada keterangan pengiriman barang  lagi sampai gue baca lagi itu diskripsi enggak ada juga keterangan barang dikirim  gue beli biasanya di copi sih tapi karena copi enggak bisa memilih kurir akhir kesini lhaa malah lebih parah pas mengajukan komplain pun enggak ditanggepin barang tetap dikirim ketika ditanya jawaban mereka templated,"['sebenarnya', 'gue', 'suka', 'sama', 'produk', 'avoskin', 'cuman', 'kalo', 'lagi', 'butuh', 'itu', 'pas', 'kita', 'travelling', 'sla', 'eta', 'estimasi', 'pengiriman', 'itu', 'enggak', 'sesuai', 'mana', 'enggak', 'ada', 'keterangan', 'pengiriman', 'barang', 'lagi', 'sampai', 'gue', 'baca', 'lagi', 'itu', 'diskripsi', 'enggak', 'ada', 'juga', 'keterangan', 'barang', 'dikirim', 'gue', 'beli', 'biasanya', 'di', 'copi', 'sih', 'tapi', 'karena', 'copi', 'enggak', 'bisa', 'memilih', 'kurir', 'akhir', 'kesini', 'lhaa', 'malah', 'lebih', 'parah', 'pas', 'mengajukan', 'komplain', 'pun', 'enggak', 'ditanggepin', 'barang', 'tetap', 'dikirim', 'ketika', 'ditanya', 'jawaban', 'mereka', 'templated']"
51,lama nya minta ampunnnn,lama nya meminta ampun,"['lama', 'nya', 'meminta', 'ampun']"
