,Review
99,seller yg maksa banget buat beli barangnya padahal sudah cancel sebelum diproses tapi ditolak dan tetep ngotot barangnya dikirim barang yang bulan udh expired tetep dijual dan paksa beli hati buat yang mau belanja disini cek review dulu sebelum cekout seandainya ada bintang minus
100,di deskripsi tulisannya exp ternyata yg aku dapet malah lebih cepet exp nya padahal ini aja udah mau bulan pas di liat serumnya warna lebih keruh dari yang biasa btw sebelumny aku beli di official store jg cuma di  commerce sebelah jd pembandingnya ada pas di chat adminnya bilang msh aman tp agak ketar ketir jg lain kali beli yg exp nya msh lama aja beli yg biasa semangat girls
101,ka ko teksturny tdk sma dg yg sya liat diyoutube yah ini encer dan bening pdhl hrsunya kental dn agak putih susu wrnany apa krn tgl exp datenya kecewa bnget sih pdhl official store tokped
102,kaget pas liat exp datenya taun dgn harga normal an rb tapi dikasinya produk yg exp biasanya beli dapet exp yg lumayan jauh trus pipetnya gabisa dipakeee gajelas bgt dahlah
103,barangnya tetep blm sampai
104,diluar ekspetasi dalam pengirimannya mohon untuk direview kembali untuk produk diterima baik dan bagus
105,barang yg di terima beda seperti yg biasa dipake yg ini tekstur nya cair dan butek biasa pake bening dan tekstur nya kental dan digunakan ke wajah wajah malah jadi kusam
106,barang yang dikirim tidak sesuai saya beli niacinamide yg dikirim salicylic acid
107,toner yang ditunggu tapi pas nyampe kemasan tumpah dan tonernya abis ya allah pen nangis
108,abis pake minggu malah breakout mau klam asuransi alergi nya malah  bisa
109,yang dikirimkan bukan toner ml tp yg ml baru sempat unboxing
110,inv mpl kurang untuk gct tranexamic nya mohon dicek kembali jumlah produk tersebut yang tersisa di gudang penjual ada kelebihan satu kan nah itu punya saya semoga bisa dilakukan pengiriman kembali ya
111,ga cocok
112,astaga ini expired date nya udah deket banget baru ini kecewa banget sama avo
113,sudah meminta pembatalan pesanan karena mau ganti produk dan tinggal menunggu persutujuan penjual tetapi tetap di proses seperti sengaja dan memaksa
114,dus produk rusak seperti sudah di buka
115,maaf ya saya kasih bintang soalnya essence nya susah bgt keluar meskipun ini udah diretur proses retur juga lama bgt total minggu saya baru terima barang barunya udah gt msh juga susah keluar essence nya gatau ya mungkin yg size gede ga susah ky gini not reccomend kecewa sih soalnya beli harga normal ud gt keracun org yg katanya bagus bgt tp aku sendiri susah buat coba produknya pdhl series avoskin lain yg aku punya ga ky gini
116,beli yg kombucha datangnya yg niacimide kuning bening kecewa minta pertanggungjwban tp solusinya ditukar dan hrs kirim balik barangnya trs waktuku yg terbuang gag diganti rada males trs yaudahlah dipake aja drpd nunggu lagi
117,sebotol tumpah semua kok ga  ganti
118,bru bukak sudah exsaited mw pkek  dipencet gk ada isinya cmn setetes dblg hrus di berdiriin dlu krn uk kecil logika aja ini biar uk kecil msa sekali pakai kan gk mngkn ya sngat kecewa
119,tulisannya ml tp kyk ga ada isi cuma secuil yg keluar udh di pencet isinya cuma angin pertama kali beli produk yg ga ada isi kyk gini sangat kecewa
120,pengiriman nya lama sekali
121,untuk ukuran ml kecewa banget karena isinya sumpah dikit banget cuman dari wadahnya
122,yang dipesan retinol toner tapi yang dikirim refining toner
123,review ini akan diubah jd bintang kalau dibales dengan tidak men sensor nama okeh diubah
124,gak dapat tasnya
125,udah excited banget pas produknya dateng pas dipencet nggak keluar sampe harus ke bawah banget ternyata isinya begitu memang sih cuma ml tapi kan harusnya disesuaikan juga sama ukuran tube nya jangan kayaknya gini sempet ngira dikasih sisaan loh gara begini
126,kalau misalkan ada pilihan bintang bakalan saya pilih gak worth it
127,salah kirim serum
128,segel kardusnya udah kebuka
129,pipetnya retak
130,barang bocor sampai botol kosong
131,salah kirim barang yang dikirim produk lain saya chat online toko tdk ada respon balasan
132,baru kali ini beli dan dikirim dari toko cabang ternyata pas dibuka produknya sudah rusak biasanya beli dan dikirim dari yg jogja langsung selalu aman dari awal agak curiga karena kotak kemasannya agak kotor seperti kurang dijaga ketika penyimpanan tapi tetap percaya karena sebelumnya selalu baik baik aja pelayanan ketika komplain juga kurang memuaskan
133,masker tipis packaging ga sesuai sama harga
134,barang sampai dengan selamatt
135,ini pertama kali saya membeli serum avoskin jujur untuk produk serumnya sejauh ini tidak ada komplain namun saat saya terima pipet pumpnya tidak berfungsi serum tidak tersedot dan tidak bisa keluar begitu dicoba pakai pipet pump serum merk lain dengan effortless lgsg tersedot dan keluar hanya dengan sekali pencet lalu saya minta tolong replace pump ke tim cs awalnya dioper untuk kirim video ke whatsapp lalu sudah saya lakukan sampai hampir minggu kemudian saya tunggu dengan sabar tapi belum ada kabar jadi saya followup lalu tim cs di whatsapp mengoper saya lagi ke tokped saya followup lagi di tokped lalu dibilang karena serumnya kental dan saya tidak paham cara pakai serum bener bener nggak habis pikir karena udah usaha bikin video sejelas mungkin kalau pipetnya nggak berfungsi dan langsung berfungsi dengan pipet lain jadi udah jelas bukan salah serumnya saya jelasin lagi dengan detail tapi terus diputer puter segitu beratnya untuk replace pump aja sayang sekali produk yang bagus harus mengecewakan customer karena sdm nya untuk yang baru mau coba serum avoskin semoga pumpnya nggak rusak kayak punya saya yaa kalau rusak pake pipet serum lain aja daripada buang waktu untuk komplain terima kasih avoskin sukses selalu
136,warna sudah kuning apa bisa diganti
137,ternyata isinya cuma gram tulisnya kemasan gr kecewa
138,lama bgt pesen kamis dikirim senin
139,pesannya yg no tapi dikirim no
140, males drama bgt avoskin mending cancel dr toko ka drpd dikirim yg ga sesuai pesen acne spot yg dikirim malah masker
141,beli pcs dikirim pcs ga ridho sampai kapan pun buat yg packing amanah konsumen itu di jaga kerja yg teliti
142,pesan dikirim hati ini official store kerjaan ga becus ga tau diganti atau kaga
143,pesan dikirim hati dengan toko ini kerjaan tidak becus nga tau diganti atau tidak
144,war flashsale tapi paket hilang kecewa sih mana war nya susah bukan di ganti produk cm di refund aja
145,barang belum diterima
146,biasanya kiriman komplit tapi pas pesenan ini ko beli datengnya cuman
147,barang yg dikirim tidak sesuai
148,sedih beli acne solution dikirimnya masker kecewa sih sekelas avoskin toko besar tpi drama
149,barang tidak sesuai
150,parah si kesalahan seller dikasi nya sheet mask
151,sampah
152,kalau memang salah dari seller di cancel saja dari sana jangan dikirim dengan barang berbeda kan ga semua orang butuh apa yg dikirimkan makanya pas upload diskon benerin liatnya
153,expired bulan depan
154,ga cocokkkk
155,benar kecewa pakai avoskin sudah lebih dr tahun baru kali ini kapok dgn servicenya silakan teman konsumen nilai sendiri dari bukti foto saya seriously pasti banyak yg udah percaya dgn brand ini sehingga tidak merekam proses membuka paket seperti saya tuhan maha tahu tentang kebenaran okelah saya rugi rb tapi jangan harap saya mau membeli lagi atau mempromosikan brand ini lagi ke lingkungan saya
156,dikirimi box kosong dan perlu nunggu serta follow up selama bulan
157,barang yg dikirim beda dengan yg dipesan
158,sudah kali saya beli facial cleanser ini saat harga diskon saya dapat nya tekstur selalu cair cairan bewarna kuning tekstur cair membuat pemakaian menjadi sangat boros karena begitu tube dibuka cairan sudah langsung keluar warna cairan juga kuning sementara ketika saya membeli dengan harga normal saya mendapatkan gel yang tekstur nya kental dan warna nya bening sehingga awet digunakan dan lbh bagus saya kecewa dengan kualitas yang berbeda jauh seperti ini dengan nama merek sebesar avoskin
159,ga cocok kulit sy oily jd kering sampe kelupas
160,kok salah kirim nyesel baru bula paketannya skg harganya jauh beda lagi
161,ga sampe barangnya lamaaaaaaaaaaaa banget udah minggu akhirnya di refund ngestak di pihak ekspedisi
162,paket bundle tapi yang dikirim cuman sabun mukanya aja serumnya ngga dikirim udah di kontak pihak avoskin tapi ngga dibalas sampe detik ini
163, never received the products for over month waiting and now waiting for tokopedia to make refund  waste of time
164,bikin jerawatan sudah bulan pakai malah makin parah mending gk pakai
165,setelah pakai bulan malah jerawatan parah padahal dulu gk separah ini menyesal pakainya
166,pengiriman lama pesan toner dikirim serum serum yg dikirim exp bulan udah mo expired trik buat abisin barang exp refund ribet wong yg salah sapa yg buat ribet sapa
167,isinya seperti sudah expired baunya ga sedap beda dgn pembelian ku yg sblmnya please mau direfund atau tuker item baru aja rugi banget asli
168,salah kirim yg dateng malah niacinamide tolong diperhatikan dalam mengemas barangnya
169,semoga avoskin makin laris sehingga bisa mensejahterakan karyawannya biar makin semangat konsentrasi dalam bekerja
170,pertama kali belanja di official store avoskin produknya ga ada masalah tapi logistiknya lama semoga jadi bahan evaluasi avoskin untuk bermitra dengan anteraja karena bisa mempengaruhi kepuasan pelanggan walaupun produknya tidak ada masalah ecommerce sebelah kurir bebas ongkir nya ga selambat ini
171,beli pcs serum yg dikirim cuma di resi ditulis pcs sori saya kasih bintang dulu sampai komplain saya ditangani
172,baru nyoba udh pake seminggu sm skali gk ngurangin jerawat jerawat malah gk mati sm skali kering aja engga kempes engga malah merah gtu aja kya gk ngefek gtu sm skali pdhal cm jerawat krn after haid
173,ini sudah kelima kalinya saya repurchase baik dari avoskin official store maupun dari official store lain namun baru kali ini produk yang saya terima warnanya kekuningan bahkan ketika dijejerkan dengan produk lama yg sudah hampir habis jauh sekali kelihatan bedanya ketika saya tanyakan hanya dijawab sedang ditanyakan ke bagian qc dan tidak ada update sampai sistem auto close pembelian ini sangat disayangkan ya avoskin ini padahal produknya bagus tapi kok kali ini jelek sekali kualitas barang yg dikirim dan customer servicenya
174,barang seperti sudah dibuka oleh kurir
175,eww tidak dapat free tonner refining tonner yg ml padahal alasan beli gara gara itu baru kali ini kecewa sama avoskin kek ngk niat banget ngasih hadiah eww beda sama brand sebelah
176,gapaham karyawannya yg kurang teliti atau gimana harusnya ada barang free tapi gak diberikan padahal jelas tertera ada free barang lain
177,gapaham karyawannya yg kurang teliti atau gimana harusnya ada barang free tapi gak diberikan padahal jelas tertera ada free barang lain tolong kalo penjual jangan menipu customer
178,pengiriman sangat telat sangat tidak di rekomendasikan gw bayar ongkos kirim untuk hari barang sampai tapi malah sama aja kyk pengiriman standar barang gw pesen tgl nyampe tgl mana katanya hari
179,beli krn ada diskon dan ada free gift begitu sampe ga ada giftnya dan pas menanyakan hal itu katanya selama persediaan masih ada padahal tdk ada note spt itu dan barang yg sama dgn free gift pun masih dijual harusnya kalau mmg giftnya sudah ga ada ditake down dong padahal dalam bulan ini belanja avoskin lumayan banyak dan sering baru mo beli phte lg mumpung ada giftnya tp ternyata giftnya dah ga ada cm bohongin customer dong kl gitu
180,di deskripsi dikatakan ed makanya saya beli yg dtg ed dan ga boleh komplain masalah ed gila bener ini november uda ga sampe bulan lagi dan barangnya masih dijual pake nipu customer pula
181,ga ngefek apa ke komuk gw meyesal beli ini
182,bonus massage face  ganti kain payah
183,barang diterima dalam kondisi botol kosong dan isi merembes keluar sampai dus rusak tapi sudah saya ajukan komplain dan sudah dapat solusi pengembalian dana semoga ke depannya jadi pelajaran utk seller agar lebih memperhatikan ulang kondisi barang sebelum dikirim
184,saya pesan miraculous aura  paola serena tp yg datang acne solution
185,saya dikasi produk yg sudah kepake kemasan luarnya masih utuh tersegel tapi isi dalamnya sudah hampir habis tinggal sisa pake  habis kecewa berat jadinya saya order baru lagi skrg di toko lain insyaallah gak ketipu lagi
186,tidak ada isinya
187,saya gatal kalau pake sama perih yaa setelah bbrp kali pemakaian
188,isi nya tidak ada sheet mask hanya cairan
189,barang hilang tidak sampai pesanan
190,exp nya bulan ya bukan nulis itu yang sesuai dg kenyataan barang
191,harga normal dapat expired date mepet tgl bln lagi padahal beli yg harga normal bukan clearance sale udah di minta solusi ttep aja gak bisa menyelesaikan solusi kapok
192,saya pesen tapi yg datang cuma pdhl diresi nya tertulis pcs emang salah saya ga divideoin krn udh percaya aja krn udah sering beli juga eeeehh ya sudahlah mo gmn lagi ga divideoin juga cuma ada foto doang
193,warna produk hafusnya gel bening tapi yg di terima warna kuning kecewa sih sekelas avoskin dapat barang kaya gini
194,beli dikirim hanya satu tidak minta pengembalian dana karena saya beli untuk ibu saya di luar kota dan baru dibuka beberapa hari setelahnya sehingga terlanjur tidak bisa dikomplain sedih banget ga amanah penjualnya padahal udah berapa kali saya beli avoskin ini lo
