,Review,Review_norm
82,udah beli fw azarine hampir setengah tahunan cocok dimuka ku yg oily pengiriman standard dan dapet murah bgt cuma ribu woilaah mantep bgt tokped sering sering kasi promo gedean danbocher juga ,sudah beli face wash azarine hampir setengah tahunan cocok dimuka ku yang oily pengiriman standard dan dapat murah banget cuma ribu woilaah mantap banget tokped sering sering kasih promo gedean danbocher juga 
83,baru nyoba dan warna sesuai ekspektasi,baru mencoba dan warna sesuai ekspektasi
84,favorite,favorite
85,terima kasih barang sampe dengan selamat dan tepat waktu bgt sering sering diskonannya karena aku cocok bgt pake ini jadi bakalan beli terus,terima kasih barang sampai dengan selamat dan tepat waktu banget sering sering diskonannya karena aku cocok banget pakai ini jadi bakalan beli terus
86,mantabbb,mantap
87,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman enggak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampai jakarta
88,pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama,pengirimannya pakai sicepat tapi sangat lambat  sudah ada  gudang tanggal baru diantar ke rumah tanggal sayang banget enggak sesuai nama
89,paket diterima dengan keadaan baik,paket diterima dengan keadaan baik
90,baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi,baru pertama pakai semoga cocok ya min tipe kulitku berminyak tipe kulitku kombinasi
91,fast respon,fast respon
92,okeeeeeeeee,oke
93,niceeeee,nice
94,worth the price pcs dapat harga  cashback ,worth the price pcs dapat harga  cashback 
95,thx ya,thanks ya
96,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar
97,packing aman banget semoga cocok,packing aman banget semoga cocok
98,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dengan azarine thanks azarine
99,repurchased nda bikin kusam affordable,repurchased indak bikin kusam affordable
100,susah di blend jadi alisnya numpuk ngeblock huhu,susah di blend jadi alisnya numpuk ngeblock huhu
101,wanginya lumayan nyaman,wanginya lumayan nyaman
102,suka wanginya,suka wanginya
103,cocok di aku,cocok di aku
104,tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat
105,tipe kulitku berminyak masalah kulitku jerawat ini sunscreen ter thebest untuk kulit oily acne prone bagus banget luvv,tipe kulitku berminyak masalah kulitku jerawat ini sunscreen ter thebest untuk kulit oily acne prone bagus banget luvv
106,tidak bisa berkata lagi dehh buat moisturizer yang satu ini mantep pollll menenangkan banget disaat jerawat sedang meradang aku sudah makai sampai pembelian kedua,tidak bisa berkata lagi deh buat moisturizer yang satu ini mantap pol menenangkan banget disaat jerawat sedang meradang aku sudah makai sampai pembelian kedua
107,tekstur lembut seperti gel cepat menyerap dikulit dan tidak terasa lengket cocok untuk yang gampang kering karena melembapkan pengiriman cepat packing oke good job seller good luck,tekstur lembut seperti gel cepat menyerap dikulit dan tidak terasa lengket cocok untuk yang gampang kering karena melembapkan pengiriman cepat packing oke good job seller good luck
108,tipe kulitku kombinasi masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku pori besar
109,kedua kalinya pakai produk ini cocok banget di kulitku yang sepertinya kombinasi dan acne prone ,kedua kalinya pakai produk ini cocok banget di kulitku yang sepertinya kombinasi dan acne prone 
