,Review,Review_norm,review_tokens
437,sgt membantu menghilangkan jerawat yg lg mateng,sangat membantu menghilangkan jerawat yang lagi mateng,"['sangat', 'membantu', 'menghilangkan', 'jerawat', 'yang', 'lagi', 'mateng']"
438,packagingnya elegant bgt  semoga cocok deh,packagingnya elegant banget  semoga cocok deh,"['packagingnya', 'elegant', 'banget', 'semoga', 'cocok', 'deh']"
439,bagus,bagus,['bagus']
440,repurchase,repurchase,['repurchase']
441,produknya sampai dengan selamat baru nyoba sekarang tonernya mudah nyerap gak terasa berat trus kek ada aroma khas tonernya yg gak terlalu nyengat,produknya sampai dengan selamat baru mencoba sekarang tonernya mudah nyerap enggak terasa berat terus kayak ada aroma khas tonernya yang enggak terlalu nyengat,"['produknya', 'sampai', 'dengan', 'selamat', 'baru', 'mencoba', 'sekarang', 'tonernya', 'mudah', 'nyerap', 'enggak', 'terasa', 'berat', 'terus', 'kayak', 'ada', 'aroma', 'khas', 'tonernya', 'yang', 'enggak', 'terlalu', 'nyengat']"
442,melembapkan lo,melembapkan lo,"['melembapkan', 'lo']"
443,akhirnya udah coba segini kalau pengaplikasiannya yg jerawat matang saya membutuhkan kali pengulangan agar bibitnya gk tumbuh lagi ngilangin bekas jerawat aja yg susah sedangkan untuk jerawat yg mendem kalau aku aplikasikan dia membuat jerawatnya lebih cepet matang terus diulang lagi seperti pemakaian di atas,akhirnya sudah coba segini kalau pengaplikasiannya yang jerawat matang saya membutuhkan kali pengulangan agar bibitnya enggak tumbuh lagi menghilangkan bekas jerawat saja yang susah sedangkan untuk jerawat yang mendem kalau aku aplikasikan dia membuat jerawatnya lebih cepat matang terus diulang lagi seperti pemakaian di atas,"['akhirnya', 'sudah', 'coba', 'segini', 'kalau', 'pengaplikasiannya', 'yang', 'jerawat', 'matang', 'saya', 'membutuhkan', 'kali', 'pengulangan', 'agar', 'bibitnya', 'enggak', 'tumbuh', 'lagi', 'menghilangkan', 'bekas', 'jerawat', 'saja', 'yang', 'susah', 'sedangkan', 'untuk', 'jerawat', 'yang', 'mendem', 'kalau', 'aku', 'aplikasikan', 'dia', 'membuat', 'jerawatnya', 'lebih', 'cepat', 'matang', 'terus', 'diulang', 'lagi', 'seperti', 'pemakaian', 'di', 'atas']"
444,cepet banget,cepat banget,"['cepat', 'banget']"
445,seneng ternyata weekend tetep dikirim hanya hari juga sampai dengan aman pertama kali nyoba semoga mantul makasih skingame kurir dan tokopedia,senang ternyata weekend tetap dikirim hanya hari juga sampai dengan aman pertama kali mencoba semoga mantul terima kasih skingame kurir dan tokopedia,"['senang', 'ternyata', 'weekend', 'tetap', 'dikirim', 'hanya', 'hari', 'juga', 'sampai', 'dengan', 'aman', 'pertama', 'kali', 'mencoba', 'semoga', 'mantul', 'terima', 'kasih', 'skingame', 'kurir', 'dan', 'tokopedia']"
446,bagus buat ngebersihin dan ngecilin pori,bagus buat ngebersihin dan ngecilin pori,"['bagus', 'buat', 'ngebersihin', 'dan', 'ngecilin', 'pori']"
447,cocok buat nyembuhin jerawat,cocok buat nyembuhin jerawat,"['cocok', 'buat', 'nyembuhin', 'jerawat']"
448,cocok di kulit kombinasi cepat meresap kemasannya lucu,cocok di kulit kombinasi cepat meresap kemasannya lucu,"['cocok', 'di', 'kulit', 'kombinasi', 'cepat', 'meresap', 'kemasannya', 'lucu']"
449,st time nyoba toner ini affordable dan bikin kulitku moist dan supple,skin type time mencoba toner ini affordable dan bikin kulitku moist dan supple,"['skin', 'type', 'time', 'mencoba', 'toner', 'ini', 'affordable', 'dan', 'bikin', 'kulitku', 'moist', 'dan', 'supple']"
450,cocok di kulit kombinasi bikin kulitku kenyal gitu rasanya lucu,cocok di kulit kombinasi bikin kulitku kenyal begitu rasanya lucu,"['cocok', 'di', 'kulit', 'kombinasi', 'bikin', 'kulitku', 'kenyal', 'begitu', 'rasanya', 'lucu']"
