,Review,Review_norm,review_tokens
372,cangkep,cangkep,['cangkep']
373,free hair spa mask dan voucher ,free hair spa mask dan voucher ,"['free', 'hair', 'spa', 'mask', 'dan', 'voucher']"
374,my savior dikala muka lagi break out dulu sempet break out parah trus sembuh gara acne warrior ini,my savior dikala muka lagi break out dulu sempat break out parah terus sembuh gara acne warrior ini,"['my', 'savior', 'dikala', 'muka', 'lagi', 'break', 'out', 'dulu', 'sempat', 'break', 'out', 'parah', 'terus', 'sembuh', 'gara', 'acne', 'warrior', 'ini']"
375,paketan sampai belum dicoba tapi semoga cocok biar bisa pesen lagi,paketan sampai belum dicoba tapi semoga cocok biar bisa pesan lagi,"['paketan', 'sampai', 'belum', 'dicoba', 'tapi', 'semoga', 'cocok', 'biar', 'bisa', 'pesan', 'lagi']"
376,beli satu dapet banyak dong dikasih bonus hair spa mask sama voucher  buat beli baju packagingnya bagus dan minimalis texturenya gel dicoba oles ditangan butuh kira satu menit baru meresap dan ga lengket sensasi waktu nyentuh kulit itu seger kalo kebanyakan dan belum menyerap sempurna jelas akan sedikit lengket gitu kalo disentuh wanginya bukan kayak yg enak banget gitu tapi aman aja cocok banget buat kulit oily dan kombinasi untuk kulit kering juga bisa tapi penggunaannya akan lebih banyak atau mungkin bisa ditambah dengan penggunaan face oil,beli satu dapat banyak dong dikasih bonus hair spa mask sama voucher  buat beli baju packagingnya bagus dan minimalis texturenya gel dicoba oles ditangan butuh kira satu menit baru meresap dan enggak lengket sensasi waktu nyentuh kulit itu segar kalo kebanyakan dan belum menyerap sempurna jelas akan sedikit lengket begitu kalo disentuh wanginya bukan kayak yang enak banget begitu tapi aman saja cocok banget buat kulit oily dan kombinasi untuk kulit kering juga bisa tapi penggunaannya akan lebih banyak atau mungkin bisa ditambah dengan penggunaan face oil,"['beli', 'satu', 'dapat', 'banyak', 'dong', 'dikasih', 'bonus', 'hair', 'spa', 'mask', 'sama', 'voucher', 'buat', 'beli', 'baju', 'packagingnya', 'bagus', 'dan', 'minimalis', 'texturenya', 'gel', 'dicoba', 'oles', 'ditangan', 'butuh', 'kira', 'satu', 'menit', 'baru', 'meresap', 'dan', 'enggak', 'lengket', 'sensasi', 'waktu', 'nyentuh', 'kulit', 'itu', 'segar', 'kalo', 'kebanyakan', 'dan', 'belum', 'menyerap', 'sempurna', 'jelas', 'akan', 'sedikit', 'lengket', 'begitu', 'kalo', 'disentuh', 'wanginya', 'bukan', 'kayak', 'yang', 'enak', 'banget', 'begitu', 'tapi', 'aman', 'saja', 'cocok', 'banget', 'buat', 'kulit', 'oily', 'dan', 'kombinasi', 'untuk', 'kulit', 'kering', 'juga', 'bisa', 'tapi', 'penggunaannya', 'akan', 'lebih', 'banyak', 'atau', 'mungkin', 'bisa', 'ditambah', 'dengan', 'penggunaan', 'face', 'oil']"
377,bagus bgt cocok pake ini semoga  ada duit buat beli ini,bagus banget cocok pakai ini semoga  ada duit buat beli ini,"['bagus', 'banget', 'cocok', 'pakai', 'ini', 'semoga', 'ada', 'duit', 'buat', 'beli', 'ini']"
378,asik banget masih dapet free hair mask seringin order ada free ya ka seneng banget jadi pecinta skingame,asik banget masih dapat free hair mask seringin order ada free ya kak senang banget jadi pecinta skingame,"['asik', 'banget', 'masih', 'dapat', 'free', 'hair', 'mask', 'seringin', 'order', 'ada', 'free', 'ya', 'kak', 'senang', 'banget', 'jadi', 'pecinta', 'skingame']"
379,dapat bonus hair mask juga bagus sekali,dapat bonus hair mask juga bagus sekali,"['dapat', 'bonus', 'hair', 'mask', 'juga', 'bagus', 'sekali']"
380,thank you barangnya cepat sampai dan dapat bonus hair conditioner dan voucer belanja makasih sekali lagi skin game semoga produknya cocok dan bermanfaat buat kulit ku,thank you barangnya cepat sampai dan dapat bonus hair conditioner dan voucer belanja terima kasih sekali lagi skin game semoga produknya cocok dan bermanfaat buat kulit ku,"['thank', 'you', 'barangnya', 'cepat', 'sampai', 'dan', 'dapat', 'bonus', 'hair', 'conditioner', 'dan', 'voucer', 'belanja', 'terima', 'kasih', 'sekali', 'lagi', 'skin', 'game', 'semoga', 'produknya', 'cocok', 'dan', 'bermanfaat', 'buat', 'kulit', 'ku']"
381,pemesanan pertama smg cocok dgn kulit sy,pemesanan pertama semoga cocok dengan kulit saya,"['pemesanan', 'pertama', 'semoga', 'cocok', 'dengan', 'kulit', 'saya']"
382,sampai dengan aman semoga cocok makasih gift nyaa,sampai dengan aman semoga cocok terima kasih gift nya,"['sampai', 'dengan', 'aman', 'semoga', 'cocok', 'terima', 'kasih', 'gift', 'nya']"
383,sukaaa bangettt pake semalam jerawat yg kecil jadi kering trus jerawat batu juga mulai ngeluarin matanya dalam semalam sekarang jerawat batunya udah mengering sedikit demi sedikitt,suka banget pakai semalam jerawat yang kecil jadi kering terus jerawat batu juga mulai mengeluarkan matanya dalam semalam sekarang jerawat batunya sudah mengering sedikit demi sedikitt,"['suka', 'banget', 'pakai', 'semalam', 'jerawat', 'yang', 'kecil', 'jadi', 'kering', 'terus', 'jerawat', 'batu', 'juga', 'mulai', 'mengeluarkan', 'matanya', 'dalam', 'semalam', 'sekarang', 'jerawat', 'batunya', 'sudah', 'mengering', 'sedikit', 'demi', 'sedikitt']"
384,terima kasih free hair masknya,terima kasih free hair masknya,"['terima', 'kasih', 'free', 'hair', 'masknya']"
385,produk nya sampai dengan cepat dan dikasih bonus hair spa mask,produk nya sampai dengan cepat dan dikasih bonus hair spa mask,"['produk', 'nya', 'sampai', 'dengan', 'cepat', 'dan', 'dikasih', 'bonus', 'hair', 'spa', 'mask']"
